freq,sectperf,unit,geo,Ano,Valor
A,TOTAL,PC_GDP,BG33,2014 ,0.36
A,TOTAL,PC_GDP,BG34,2014 ,0.26
A,TOTAL,PC_GDP,BG41,2014 ,1.39
A,TOTAL,PC_GDP,BG42,2014 ,0.26
A,TOTAL,PC_GDP,CY00,2014 ,0.51
A,TOTAL,PC_GDP,CZ01,2014 ,2.58
A,TOTAL,PC_GDP,CZ02,2014 ,2.04
A,TOTAL,PC_GDP,CZ03,2014 ,1.67
A,TOTAL,PC_GDP,CZ04,2014 ,0.41
A,TOTAL,PC_GDP,CZ05,2014 ,1.48
A,TOTAL,PC_GDP,CZ06,2014 ,2.94
A,TOTAL,PC_GDP,CZ07,2014 ,1.51
A,TOTAL,PC_GDP,CZ08,2014 ,1.24
A,TOTAL,PC_GDP,DK01,2014 ,4.66
A,TOTAL,PC_GDP,DK02,2014 ,1.05
A,TOTAL,PC_GDP,DK03,2014 ,1.77
A,TOTAL,PC_GDP,DK04,2014 ,2.43
A,TOTAL,PC_GDP,DK05,2014 ,1.51
A,TOTAL,PC_GDP,EE00,2014 ,1.41
A,TOTAL,PC_GDP,ES11,2014 ,0.88
A,TOTAL,PC_GDP,ES12,2014 ,0.83
A,TOTAL,PC_GDP,ES13,2014 ,0.84
A,TOTAL,PC_GDP,ES21,2014 ,2.08
A,TOTAL,PC_GDP,ES22,2014 ,1.79
A,TOTAL,PC_GDP,ES23,2014 ,0.93
A,TOTAL,PC_GDP,ES24,2014 ,0.93
A,TOTAL,PC_GDP,ES30,2014 ,1.7
A,TOTAL,PC_GDP,ES41,2014 ,1.02
A,TOTAL,PC_GDP,ES42,2014 ,0.55
A,TOTAL,PC_GDP,ES43,2014 ,0.68
A,TOTAL,PC_GDP,ES51,2014 ,1.5
A,TOTAL,PC_GDP,ES52,2014 ,1.05
A,TOTAL,PC_GDP,ES53,2014 ,0.32
A,TOTAL,PC_GDP,ES61,2014 ,1.06
A,TOTAL,PC_GDP,ES62,2014 ,0.87
A,TOTAL,PC_GDP,ES63,2014 ,0.07
A,TOTAL,PC_GDP,ES64,2014 ,0.13
A,TOTAL,PC_GDP,ES70,2014 ,0.49
A,TOTAL,PC_GDP,HR03,2014 ,0.36
A,TOTAL,PC_GDP,HR04,2014 ,0.98
A,TOTAL,PC_GDP,HU10,2014 ,1.83
A,TOTAL,PC_GDP,HU21,2014 ,1.1
A,TOTAL,PC_GDP,HU22,2014 ,0.64
A,TOTAL,PC_GDP,HU23,2014 ,0.59
A,TOTAL,PC_GDP,HU31,2014 ,0.71
A,TOTAL,PC_GDP,HU32,2014 ,1.11
A,TOTAL,PC_GDP,HU33,2014 ,1.11
A,TOTAL,PC_GDP,IS00,2014 ,1.92
A,TOTAL,PC_GDP,ITC1,2014 ,2.21
A,TOTAL,PC_GDP,ITC2,2014 ,0.45
A,TOTAL,PC_GDP,ITC3,2014 ,1.38
A,TOTAL,PC_GDP,ITC4,2014 ,1.28
A,TOTAL,PC_GDP,ITF1,2014 ,0.95
A,TOTAL,PC_GDP,ITF2,2014 ,0.66
A,TOTAL,PC_GDP,ITF3,2014 ,1.25
A,TOTAL,PC_GDP,ITF4,2014 ,0.98
A,TOTAL,PC_GDP,ITF5,2014 ,0.56
A,TOTAL,PC_GDP,ITF6,2014 ,0.8
A,TOTAL,PC_GDP,ITG1,2014 ,1.07
A,TOTAL,PC_GDP,ITG2,2014 ,0.77
A,TOTAL,PC_GDP,ITH1,2014 ,0.67
A,TOTAL,PC_GDP,ITH2,2014 ,1.73
A,TOTAL,PC_GDP,ITH3,2014 ,1.08
A,TOTAL,PC_GDP,ITH4,2014 ,1.56
A,TOTAL,PC_GDP,ITH5,2014 ,1.71
A,TOTAL,PC_GDP,ITI1,2014 ,1.3
A,TOTAL,PC_GDP,ITI2,2014 ,0.95
A,TOTAL,PC_GDP,ITI3,2014 ,0.88
A,TOTAL,PC_GDP,ITI4,2014 ,1.6
A,TOTAL,PC_GDP,LU00,2014 ,1.22
A,TOTAL,PC_GDP,LV00,2014 ,0.71
A,TOTAL,PC_GDP,ME00,2014 ,0.36
A,TOTAL,PC_GDP,MT00,2014 ,0.68
A,TOTAL,PC_GDP,NO01,2014 ,2.84
A,TOTAL,PC_GDP,NO02,2014 ,0.78
A,TOTAL,PC_GDP,NO03,2014 ,1.61
A,TOTAL,PC_GDP,NO04,2014 ,1.1
A,TOTAL,PC_GDP,NO05,2014 ,1.68
A,TOTAL,PC_GDP,NO06,2014 ,4.8
A,TOTAL,PC_GDP,NO07,2014 ,1.69
A,TOTAL,PC_GDP,PL11,2014 ,0.67
A,TOTAL,PC_GDP,PL12,2014 ,1.7
A,TOTAL,PC_GDP,PL21,2014 ,1.4
A,TOTAL,PC_GDP,PL22,2014 ,0.58
A,TOTAL,PC_GDP,PL31,2014 ,1.03
A,TOTAL,PC_GDP,PL32,2014 ,1.38
A,TOTAL,PC_GDP,PL33,2014 ,0.34
A,TOTAL,PC_GDP,PL34,2014 ,0.6
A,TOTAL,PC_GDP,PL41,2014 ,0.64
A,TOTAL,PC_GDP,PL42,2014 ,0.28
A,TOTAL,PC_GDP,PL43,2014 ,0.18
A,TOTAL,PC_GDP,PL51,2014 ,0.74
A,TOTAL,PC_GDP,PL52,2014 ,0.34
A,TOTAL,PC_GDP,PL61,2014 ,0.34
A,TOTAL,PC_GDP,PL62,2014 ,0.27
A,TOTAL,PC_GDP,PL63,2014 ,1.07
A,TOTAL,PC_GDP,PT11,2014 ,1.35
A,TOTAL,PC_GDP,PT15,2014 ,0.39
A,TOTAL,PC_GDP,PT16,2014 ,1.35
A,TOTAL,PC_GDP,PT17,2014 ,1.58
A,TOTAL,PC_GDP,PT18,2014 ,0.47
A,TOTAL,PC_GDP,PT20,2014 ,0.35
A,TOTAL,PC_GDP,PT30,2014 ,0.35
A,TOTAL,PC_GDP,RO11,2014 ,0.27
A,TOTAL,PC_GDP,RO12,2014 ,0.32
A,TOTAL,PC_GDP,RO21,2014 ,0.28
A,TOTAL,PC_GDP,RO22,2014 ,0.06
A,TOTAL,PC_GDP,RO31,2014 ,0.34
A,TOTAL,PC_GDP,RO32,2014 ,0.79
A,TOTAL,PC_GDP,RO41,2014 ,0.15
A,TOTAL,PC_GDP,RO42,2014 ,0.18
A,TOTAL,PC_GDP,SI03,2014 ,1.94
A,TOTAL,PC_GDP,SI04,2014 ,2.7
A,TOTAL,PC_GDP,SK01,2014 ,1.45
A,TOTAL,PC_GDP,SK02,2014 ,0.65
A,TOTAL,PC_GDP,SK03,2014 ,0.75
A,TOTAL,PC_GDP,SK04,2014 ,0.56
A,TOTAL,PC_GDP,UKC1,2014 ,0.9
A,TOTAL,PC_GDP,UKC2,2014 ,1.03
A,TOTAL,PC_GDP,UKD1,2014 ,0.88
A,TOTAL,PC_GDP,UKD3,2014 ,0.87
A,TOTAL,PC_GDP,UKD4,2014 ,0.89
A,TOTAL,PC_GDP,UKD6,2014 ,3.2
A,TOTAL,PC_GDP,UKD7,2014 ,1.67
A,TOTAL,PC_GDP,UKE1,2014 ,0.72
A,TOTAL,PC_GDP,UKE2,2014 ,1.4
