freq,unit,sectperf,geo,Ano,Valor
A,PC_HC,TOTAL,TR,2015 ,37.46
A,PC_HC,TOTAL,UK,2015 ,38.59
A,PC_HC,BES,BG,2016 ,39.26
A,PC_HC,BES,CY,2016 ,29.0
A,PC_HC,BES,CZ,2016 ,12.61
A,PC_HC,BES,EE,2016 ,26.6
A,PC_HC,BES,ES,2016 ,30.45
A,PC_HC,BES,FI,2016 ,17.61
A,PC_HC,BES,FR,2016 ,20.47
A,PC_HC,BES,HR,2016 ,36.4
A,PC_HC,BES,HU,2016 ,17.73
A,PC_HC,BES,IT,2016 ,22.3
A,PC_HC,BES,JP,2016 ,9.06
A,PC_HC,BES,KR,2016 ,15.5
A,PC_HC,BES,LT,2016 ,33.6
A,PC_HC,BES,LV,2016 ,38.07
A,PC_HC,BES,MK,2016 ,60.7
A,PC_HC,BES,MT,2016 ,22.26
A,PC_HC,BES,NL,2016 ,20.08
A,PC_HC,BES,NO,2016 ,23.12
A,PC_HC,BES,PL,2016 ,22.65
A,PC_HC,BES,PT,2016 ,29.26
A,PC_HC,BES,RO,2016 ,34.02
A,PC_HC,BES,RS,2016 ,30.52
A,PC_HC,BES,SI,2016 ,24.33
A,PC_HC,BES,SK,2016 ,15.36
A,PC_HC,BES,TR,2016 ,24.63
A,PC_HC,BES,UK,2016 ,21.1
A,PC_HC,GOV,BE,2016 ,36.36
A,PC_HC,GOV,BG,2016 ,58.51
A,PC_HC,GOV,CY,2016 ,57.95
A,PC_HC,GOV,CZ,2016 ,40.2
A,PC_HC,GOV,DE,2016 ,35.69
A,PC_HC,GOV,DK,2016 ,51.66
A,PC_HC,GOV,EA20,2016 ,42.44
A,PC_HC,GOV,EA21,2016 ,42.81
A,PC_HC,GOV,EE,2016 ,60.83
A,PC_HC,GOV,ES,2016 ,50.96
A,PC_HC,GOV,EU27_2020,2016 ,43.44
A,PC_HC,GOV,FI,2016 ,41.27
A,PC_HC,GOV,FR,2016 ,36.91
A,PC_HC,GOV,HR,2016 ,52.5
A,PC_HC,GOV,HU,2016 ,42.37
A,PC_HC,GOV,IT,2016 ,47.67
A,PC_HC,GOV,JP,2016 ,18.16
A,PC_HC,GOV,KR,2016 ,25.54
A,PC_HC,GOV,LT,2016 ,51.34
A,PC_HC,GOV,LV,2016 ,57.99
A,PC_HC,GOV,MK,2016 ,51.72
A,PC_HC,GOV,MT,2016 ,30.3
A,PC_HC,GOV,NL,2016 ,40.59
A,PC_HC,GOV,NO,2016 ,46.68
A,PC_HC,GOV,PL,2016 ,58.19
A,PC_HC,GOV,PT,2016 ,60.9
A,PC_HC,GOV,RO,2016 ,49.14
