freq,unit,sectperf,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HC,GOV,SI	48.41 	50.12 	50.03 	49.54 	46.27 	46.87 	48.36 	49.76 	49.65 	49.13 	49.21 	: 
A,PC_HC,GOV,SK	47.2 d	48.73 d	49.48 	48.85 	49.16 	50.28 	51 	51.53 	51.39 	51.29 	51.22 	: 
A,PC_HC,GOV,TR	30.31 	30.42 	30.39 	32.29 	33.22 	33.08 	32.93 	33.36 	34.32 	34.94 	33.67 	35.08 
A,PC_HC,GOV,UK	36.93 	35.74 	37.8 	38.09 	38.21 	39.61 	: 	: 	: 	: 	: 	: 
A,PC_HC,HES,AT	39.7 	: 	39.93 	: 	40.79 	: 	41.7 	: 	42.85 	: 	43.98 	: 
A,PC_HC,HES,BA	36.51 	44.24 	: 	: 	: 	: 	49.55 	46.17 	48.21 	: 	: 	: 
A,PC_HC,HES,BE	40.96 	40.46 	41.59 	41.75 	42.07 	42.43 	42.47 	43.04 	43.42 	44.26 	44.52 	: 
A,PC_HC,HES,BG	47.98 	48.75 	51.71 	51.87 	52.41 	52.39 	53.91 	53.88 	54.92 	54.42 	55.9 	: 
A,PC_HC,HES,CH	: 	: 	38.78 	: 	39.16 	: 	40.63 	: 	41.59 	42.23 d	42.5 	: 
A,PC_HC,HES,CY	38.84 	37.85 	37.57 	37.62 	38.37 	38.37 	38.69 	39 	39.22 	: 	39.18 	: 
A,PC_HC,HES,CZ	35.57 	34.86 	35.17 	34.4 	34.46 	34.69 	35.26 	35.71 	35.57 	36.04 	36.89 d	35.56 dp
A,PC_HC,HES,DE	37.92 	38.18 	38.7 	38.92 b	39.14 	39.56 	40 	40.64 	41.44 d	: 	42.68 	: 
A,PC_HC,HES,DK	43.2 	42.01 	42.03 	44.52 	43.73 	43.66 	44.55 p	: 	: 	: 	47.22 	: 
A,PC_HC,HES,EA20	40.05 e	40.35 e	40.93 e	41.48 e	41.84 e	42.26 e	42.75 e	43.07 e	43.6 e	: 	44.59 e	: 
A,PC_HC,HES,EA21	40.11 e	40.43 e	41.03 e	41.59 e	41.93 e	42.36 e	42.84 e	43.16 e	43.69 e	: 	44.69 e	: 
A,PC_HC,HES,EE	47.43 	47.31 	47.35 	47.84 	47.66 	48.2 	47.68 	48.54 	48.4 	49.76 	50.49 	: 
A,PC_HC,HES,EL	38.93 	: 	37.73 	: 	40.07 	: 	41.24 	40.32 	41.7 	43.45 	43.24 	: 
A,PC_HC,HES,ES	41.32 	41.67 	41.91 	42.09 	42.49 	43.11 	43.36 	43.79 	44.03 	44.58 	44.88 	: 
A,PC_HC,HES,EU27_2020	40.52 e	40.78 e	41.33 e	41.8 e	42.29 e	42.65 e	43.13 e	43.36 e	43.92 e	: 	44.87 e	: 
