Data de Referência;Ano e Mes;Código Tipo Ponto Interação;Descrição Tipo Ponto Interação;Código Meio de Interação;Descrição Meio de Interação;Código do Serviço;Descrição do Serviço;Código Ponto Atendimento;Descrição Ponto Atendiemnto;Processos Iniciados
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;385
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;57
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;21
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;127
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;33
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;18
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;19
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;5
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;5
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;8536
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;1167
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;3
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;5
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;1120
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;50
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;14
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;38
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;2
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;4
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;0
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;10
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;4263
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;422
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;48
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;19
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;89
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;27
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;26
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;18
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;29
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;16
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000015297;Pedir Cheque Nutricionista;;;1
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000015297;Pedir Cheque Nutricionista;;;1
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000015298;Pedir Cheque Psicólogo;;;1
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;7285
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;1016
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;4
2026-02-03;202412;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;12
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;1424
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;56
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;4
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;6
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;9
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;2
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;3
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;2
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;3250
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;431
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;63
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;13
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;65
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;24
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;16
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;15
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;6
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;5
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;7778
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;1078
