freq,sectperf,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,PC_GDP,FR43	2.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR51	1.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR52	2.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR53	0.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR61	1.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR62	4.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR63	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR71	2.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR72	2.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR81	2.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR82	2.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR83	0.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FRB0	: 	: 	: 	: 	: 	: 	: 	: 	1.5 	: 	1.38 	: 
A,TOTAL,PC_GDP,FRC1	: 	: 	: 	: 	: 	: 	: 	: 	0.93 	: 	0.82 	: 
A,TOTAL,PC_GDP,FRC2	: 	: 	: 	: 	: 	: 	: 	: 	2.93 	: 	2.74 	: 
A,TOTAL,PC_GDP,FRD1	: 	: 	: 	: 	: 	: 	: 	: 	1.25 	: 	1.15 	: 
A,TOTAL,PC_GDP,FRD2	: 	: 	: 	: 	: 	: 	: 	: 	1.53 	: 	1.34 	: 
A,TOTAL,PC_GDP,FRE1	: 	: 	: 	: 	: 	: 	: 	: 	0.91 	: 	0.91 	: 
A,TOTAL,PC_GDP,FRE2	: 	: 	: 	: 	: 	: 	: 	: 	1.49 	: 	1.42 	: 
A,TOTAL,PC_GDP,FRF1	: 	: 	: 	: 	: 	: 	: 	: 	1.86 	: 	1.67 	: 
A,TOTAL,PC_GDP,FRF2	: 	: 	: 	: 	: 	: 	: 	: 	0.85 	: 	0.63 	: 
A,TOTAL,PC_GDP,FRF3	: 	: 	: 	: 	: 	: 	: 	: 	1.29 	: 	1.22 	: 
A,TOTAL,PC_GDP,FRG0	: 	: 	: 	: 	: 	: 	: 	: 	1.33 	: 	1.33 	: 
A,TOTAL,PC_GDP,FRH0	: 	: 	: 	: 	: 	: 	: 	: 	1.75 	: 	1.74 	: 
A,TOTAL,PC_GDP,FRI1	: 	: 	: 	: 	: 	: 	: 	: 	1.79 	: 	1.78 	: 
A,TOTAL,PC_GDP,FRI2	: 	: 	: 	: 	: 	: 	: 	: 	1.33 	: 	1.22 	: 
A,TOTAL,PC_GDP,FRI3	: 	: 	: 	: 	: 	: 	: 	: 	0.9 	: 	0.8 	: 
A,TOTAL,PC_GDP,FRJ1	: 	: 	: 	: 	: 	: 	: 	: 	2.59 	: 	2.29 	: 
A,TOTAL,PC_GDP,FRJ2	: 	: 	: 	: 	: 	: 	: 	: 	4.44 	: 	4.08 	: 
A,TOTAL,PC_GDP,FRK1	: 	: 	: 	: 	: 	: 	: 	: 	2.15 	: 	2.03 	: 
A,TOTAL,PC_GDP,FRK2	: 	: 	: 	: 	: 	: 	: 	: 	3 	: 	3.02 	: 
A,TOTAL,PC_GDP,FRL0	: 	: 	: 	: 	: 	: 	: 	: 	2.16 	: 	2.1 	: 
A,TOTAL,PC_GDP,FRM0	: 	: 	: 	: 	: 	: 	: 	: 	0.37 	: 	0.33 	: 
A,TOTAL,PC_GDP,FRZZ	43.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,HR02	: 	: 	: 	: 	: 	: 	: 	0.31 	0.42 	0.46 	0.49 	: 
A,TOTAL,PC_GDP,HR03	0.41 	0.36 	0.33 	0.34 	0.42 	0.45 	0.59 	0.62 	0.65 	0.57 	0.68 	: 
A,TOTAL,PC_GDP,HR04	0.99 	0.98 	1.08 	1.11 	1.07 	1.21 	1.35 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,HR05	: 	: 	: 	: 	: 	: 	: 	2.39 	2.24 	2.67 	2.17 	: 
A,TOTAL,PC_GDP,HR06	: 	: 	: 	: 	: 	: 	: 	0.99 	1.15 	1.64 	1.93 	: 
A,TOTAL,PC_GDP,HU10	1.76 	1.83 	1.87 	1.77 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,HU11	: 	: 	: 	: 	2.22 	2.5 b	2.39 	2.52 	2.76 	2.3 	2.25 	: 
